Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Bmp3	Bmp3	282.936742213279	3.20361336871573	0.233979583380679	13.69185004276	1.13580090056356e-42	4.02300678979613e-39
Nkx3-1	Nkx3-1	1446.29874707407	3.10412511692509	0.369709830001819	8.39611193705564	4.61505705516872e-17	2.51485109067809e-14
Gpr30	Gpr30	26.7375709777023	2.91345312841643	0.315008811868576	9.24879882291021	2.27029558842564e-20	2.0103467435509e-17
AI646519	AI646519	26.0590918615472	2.74589556248743	0.400197102566576	6.86135792807402	6.82090198793464e-12	2.24740789221065e-09
Fgf4	Fgf4	49.7925525508676	2.72888007148092	0.267765392177512	10.1913098227117	2.16822942645577e-24	3.41327494600281e-21
Pax1	Pax1	812.836885185843	2.63893591424841	0.407181582355069	6.48098054677536	9.11284222620616e-11	2.30554908323016e-08
Dleu7	Dleu7	36.3597142616372	2.6106160116493	0.327103036429312	7.98102041530105	1.45128457936163e-15	7.34349997156983e-13
Heyl	Heyl	334.182133286965	2.59543149820529	0.260107645202887	9.97829762435787	1.89693326744155e-23	2.68757505331119e-20
Nbl1	Nbl1	143.735945540187	2.26559554844423	0.175248270397349	12.927919592629	3.1317878559315e-38	8.87423406856751e-35
Adra1a	Adra1a	92.402591649771	2.06761318917833	0.308818301552657	6.69524176120038	2.15315362448012e-11	6.3553917815905e-09
Arl5c	Arl5c	14.8998285545036	1.97862160348921	0.306961698431159	6.44582569617541	1.14972737475781e-10	2.85777849922258e-08
Cobl	Cobl	85.4845366768697	1.93466488446134	0.225092271905037	8.59498581665012	8.32750826236275e-18	5.12974508961546e-15
Fam101a	Fam101a	124.96541811221	1.89609819811615	0.18414648225895	10.2966843289997	7.2931870005662e-25	1.29162341780027e-21
Vtn	Vtn	86.1835113676775	1.86252824082413	0.330391009068935	5.63734541709492	1.72691503156231e-08	2.65944914860595e-06
Wnt7a	Wnt7a	35.9507258391661	1.86129757917779	0.37433632789591	4.97226007863001	6.61768437717839e-07	6.04899046812022e-05
Slc8a3	Slc8a3	90.8313536226887	1.85512542160208	0.188114595190281	9.86167723841728	6.10214210501842e-23	7.85955903126373e-20
Sv2b	Sv2b	97.0850635715195	1.8329968061096	0.369635864602199	4.95892574732234	7.08840514882762e-07	6.31625938041444e-05
Gm239	Gm239	41.4240229672907	1.78131754372492	0.315554505211915	5.6450391748603	1.6514364089124e-08	2.58595993578755e-06
Kcnj12	Kcnj12	9.24155248705454	1.77257955597255	0.366678740507591	4.83414869790044	1.33716611264346e-06	0.000105837818345992
Rab37	Rab37	145.902404365917	1.72947599188098	0.198269381467073	8.72285967245124	2.71262366629473e-18	1.92162260520319e-15
Nptx1	Nptx1	15.7930335262711	1.70560037279674	0.320911219928598	5.31486675092332	1.06735402760478e-07	1.3036441261297e-05
Nupr1	Nupr1	101.930931285425	1.69290523382612	0.298488168279219	5.6715991242993	1.41470706423056e-08	2.27767837341121e-06
Grb14	Grb14	73.1352191263108	1.63827228885965	0.19494593810644	8.40372620621186	4.32530457024213e-17	2.45123660604762e-14
Cldn1	Cldn1	253.529387008267	1.62035107040149	0.330470306946266	4.90316689984784	9.43037930986022e-07	7.90589432320116e-05
Tph1	Tph1	18.0309952421607	1.61952353771848	0.327997466529321	4.9376098994158	7.90858403797656e-07	6.95955395341937e-05
Mbp	Mbp	137.440535354859	1.58905114228468	0.180991945340369	8.77967878236984	1.63942198153899e-18	1.22249108602339e-15
Fut1	Fut1	18.0051048294577	1.57629843326529	0.332408111387305	4.74205766726513	2.11558379986249e-06	0.00015062974111042
Tnni2	Tnni2	36.0848563675952	1.52446308628321	0.267993908695074	5.68842438884595	1.28216859537961e-08	2.08801892636072e-06
Mal2	Mal2	14.6381051713899	1.49873926494551	0.418945004002182	3.57741290772787	0.000347011784585308	0.00790428129261197
Eya2	Eya2	197.837020928669	1.43455547849214	0.224002038467377	6.40420724877049	1.51152677249792e-10	3.56921855212508e-08
Zfp663	Zfp663	22.5139066333627	1.43215121064687	0.290593091254112	4.92837322617045	8.29171089348843e-07	7.20301262802964e-05
Barx2	Barx2	9.29780029451362	1.42865836846183	0.375865938439263	3.80097854675036	0.000144125781503163	0.00427191228522345
Apob	Apob	82.3812203643475	1.42561561949703	0.348584242442654	4.08973053258871	4.31874635793121e-05	0.00173337105946656
Cbr3	Cbr3	48.4344770399165	1.42150462872262	0.379535480108929	3.74538008492551	0.000180120867809831	0.00491705675362176
Fcrl6	Fcrl6	27.1215863642648	1.41355296760862	0.364232429374946	3.88090914923309	0.000104066713126451	0.0033662492958346
Chrna3	Chrna3	21.6852335378603	1.399320977232	0.333111522196351	4.20075825659125	2.66022522859984e-05	0.00123170166793472
Blnk	Blnk	66.0422401488498	1.39475085786936	0.263908754005969	5.28497382787772	1.25722730369788e-07	1.50952512193149e-05
Aldh1a2	Aldh1a2	3484.29026869359	1.39175805190426	0.282711584559509	4.92289006859321	8.5275361307971e-07	7.32231102431111e-05
Pnliprp2	Pnliprp2	82.1926992303627	1.37799343552099	0.272951503780562	5.04849182523214	4.45311522844654e-07	4.33145793433821e-05
Trh	Trh	43.331628140363	1.3751536961743	0.416693278585193	3.30015809432633	0.000966303770069948	0.0154173331242692
Abhd15	Abhd15	13.8436720562577	1.37464889614804	0.359065127014798	3.82841103945854	0.000128973232036908	0.00392294798011017
Stox1	Stox1	24.6182248341511	1.35812422346159	0.262423184570304	5.17532102083667	2.27519443106273e-07	2.47961189994591e-05
Rasd1	Rasd1	45.847011630964	1.32004995987856	0.215074673975142	6.13763552667816	8.37587559601978e-10	1.79802129461225e-07
Smoc1	Smoc1	3241.02537470056	1.30680293038762	0.150638167476125	8.67511170829095	4.13144725309306e-18	2.78734974675345e-15
Scg5	Scg5	95.2083287854033	1.30423602316525	0.208176594223937	6.26504640460336	3.7271439835024e-10	8.12402707050185e-08
Fgf15	Fgf15	234.631705770199	1.30353719381473	0.178124608273226	7.3181196379965	2.51469627836912e-13	1.04788873152746e-10
Chrnb4	Chrnb4	40.8360378916317	1.30259822666904	0.274097497483575	4.75231710843	2.01098647512684e-06	0.000148394043643735
Calml4	Calml4	36.8105319005833	1.2944201095534	0.185963867708649	6.96060006442426	3.38826394635751e-12	1.20012308979983e-09
Syt13	Syt13	130.63256172933	1.29279654561087	0.238154592724086	5.42839225069506	5.68639585263455e-08	7.82183072234236e-06
Fam169b	Fam169b	8.54227694122517	1.28832258384755	0.428357433804471	3.00758778108569	0.00263330061450962	0.02901135544819
Pax9	Pax9	146.715190517643	1.26641550917801	0.439778413713206	2.87966728172311	0.00398095044734397	0.0375632273650765
Gna14	Gna14	20.2797461109995	1.26222622405148	0.354294299667356	3.56264897639214	0.000367131440944966	0.00816564875244628
Ngf	Ngf	12.6146412208915	1.24499701930919	0.408644065280678	3.0466538611152	0.00231404014652118	0.0267049363338739
1300002K09Rik	1300002K09Rik	110.069364149488	1.22233335643896	0.226136986513175	5.40527834604248	6.47078263951998e-08	8.73124270825896e-06
Pnliprp1	Pnliprp1	35.2683089871687	1.21405869961401	0.379555852626002	3.19862990180337	0.00138082308570147	0.0193698034437806
Arl4a	Arl4a	584.104576558616	1.21158799960287	0.178894354376751	6.77264525101375	1.26448745725542e-11	3.98116850986552e-09
Trp53i11	Trp53i11	848.721289785888	1.21029556584987	0.203234448438883	5.95516938760428	2.59802601613987e-09	4.78036786969736e-07
Svopl	Svopl	60.4672839441791	1.21023274616487	0.246353184004244	4.91259226486807	8.98800639747606e-07	7.62527393050544e-05
Apod	Apod	22.8296387467615	1.20471686470562	0.395558706972898	3.04560825856923	0.00232210165265963	0.0267475904186029
Olig2	Olig2	112.965286596098	1.20331592879078	0.317534488738224	3.78955978474134	0.000150914488660591	0.00442682500071068
Wisp1	Wisp1	260.219703034803	1.19602302523263	0.218654243266479	5.46992826375205	4.50217768341193e-08	6.25361308025297e-06
Svip	Svip	32.1653920864262	1.18668149158862	0.282273533050953	4.20401260707079	2.62224322281607e-05	0.00122210335463349
Igfbpl1	Igfbpl1	227.978797033868	1.17983510690126	0.219622430517301	5.37210659276588	7.78220806403766e-08	9.93318232894465e-06
Aim1	Aim1	41.8307896318368	1.17455421450249	0.322795835504994	3.63869073052002	0.000274027642078253	0.0066027612805522
Scara5	Scara5	33.2290522018048	1.17302031692182	0.315299524293898	3.7203364627611	0.000198957540457516	0.00530853188926947
Slc30a10	Slc30a10	34.3608159088268	1.15519650059285	0.346134735341867	3.33741859063032	0.000845604898571056	0.014163988833351
A830018L16Rik	A830018L16Rik	45.3856759020593	1.15475909139536	0.268673194607962	4.29800633100129	1.7234124195647e-05	0.000881491233227171
Scg3	Scg3	27.811015928233	1.14659087171923	0.365716514761479	3.13519030571271	0.00171742658904372	0.022160310923055
C630043F03Rik	C630043F03Rik	267.46012397958	1.14492768501085	0.244809674906656	4.67680734206032	2.91375767067934e-06	0.000197522098938684
Cacna2d2	Cacna2d2	78.1769356956081	1.13962680989129	0.281393418532999	4.04994123825839	5.12304955485354e-05	0.00196171259711257
Lrrc55	Lrrc55	57.4544921088414	1.1365828934616	0.209892436032	5.41507314388555	6.12636568105412e-08	8.34599509318988e-06
Bhlhe41	Bhlhe41	27.2704396530744	1.13049516790393	0.295195981909987	3.82964280404281	0.000128329395900027	0.00392294798011017
Atp6v0e2	Atp6v0e2	204.274877789717	1.1253946908522	0.156105996034333	7.20917017565862	5.62938738802216e-13	2.09887264509205e-10
Lrrn1	Lrrn1	663.530064769456	1.12471992175035	0.235236428516845	4.78123192416099	1.7422422080366e-06	0.000129236060751113
Slc1a3	Slc1a3	414.15982787612	1.12376157506735	0.308279905716727	3.64526378212908	0.00026711767386902	0.00648838340274924
Zcchc12	Zcchc12	33.5847965152081	1.11991522011305	0.360061884991097	3.11034093525547	0.00186871513851383	0.0234980537373081
Lypd6b	Lypd6b	39.3913545045411	1.11429143059389	0.311422584014404	3.57806879716326	0.000346142351332911	0.00789717364522493
Bai1	Bai1	53.5706523050839	1.11121742871014	0.290046880015551	3.83116490910216	0.000127537984481488	0.00391954973415231
Dcn	Dcn	128.284774459311	1.10100663239234	0.28652200139233	3.8426599948419	0.000121708022329209	0.00380653258357666
Rgnef	Rgnef	202.623589548686	1.09888132416851	0.179711519771628	6.11469607271103	9.67411585593312e-10	2.04571452905762e-07
Slc9a7	Slc9a7	19.2258520392835	1.09682092420916	0.263622272906782	4.16057760262539	3.17443727308359e-05	0.00139675240015678
